               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10929,            0.039547,                   0,           0.0068957,             0.34006,            0.012321,           0.0033089,            0.092722,            0.029911,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.081209,            0.041028,                   0,             0.15967,             0.15223,            0.078234,            0.018088,            0.076449,            0.037089,                   0,            0.040752,           0.0064386,           0.0064386
                   2,            0.071656,            0.038912,                   0,             0.15811,             0.16427,            0.069854,            0.016535,            0.082726,            0.027717,                   0,             0.01049,           0.0095098,           0.0095098
                   3,            0.064296,            0.035936,                   0,             0.41118,             0.35447,              0.3003,              0.1115,            0.061914,            0.027901,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.057192,            0.032404,                   0,             0.54648,             0.45533,             0.44682,             0.16591,            0.056021,            0.028238,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.05277,            0.029745,                   0,             0.58934,              0.5879,             0.57035,             0.25838,            0.049114,            0.024511,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049611,            0.031266,                   0,              0.6001,             0.56772,              0.5714,             0.28147,            0.048532,            0.024168,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.04535,            0.029333,                   0,             0.71793,             0.50612,             0.57989,             0.27418,            0.047438,            0.024169,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044494,            0.029019,                   0,             0.65825,             0.46974,             0.53468,             0.22774,            0.049124,            0.024749,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041713,             0.02884,                   0,             0.66357,             0.61388,             0.62497,             0.29697,            0.045546,            0.023893,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041675,            0.026569,                   0,             0.70454,             0.56196,             0.63956,             0.32199,            0.043731,            0.023691,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039717,            0.025807,                   0,             0.60183,             0.57925,             0.60763,             0.29804,            0.044447,            0.025512,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.040032,            0.025545,                   0,             0.68414,             0.54467,             0.60856,             0.30948,            0.046233,            0.024385,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036726,            0.025752,                   0,             0.68372,             0.55043,             0.63546,             0.31751,            0.043088,            0.024375,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.037678,            0.024688,                   0,              0.7522,             0.60807,             0.67217,             0.35389,             0.04225,            0.024835,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.037271,            0.025002,                   0,             0.73932,              0.5879,             0.66804,             0.36629,            0.041306,            0.023468,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.035804,            0.026861,                   0,             0.70715,             0.57759,             0.67292,             0.37584,            0.040901,            0.023427,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035631,            0.026431,                   0,             0.72729,             0.59948,             0.68174,             0.36835,            0.039867,            0.023189,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.034792,            0.025005,                   0,             0.70949,             0.63112,             0.69553,             0.39213,            0.039614,              0.0228,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.034631,            0.024725,                   0,             0.79582,             0.60656,             0.70359,             0.40081,            0.038371,            0.023595,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.033883,            0.023965,                   0,              0.7209,             0.63401,             0.70802,             0.40436,            0.039502,             0.02316,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032467,            0.022638,                   0,             0.78028,             0.64553,             0.72329,             0.41689,            0.038964,            0.024302,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033831,            0.023927,                   0,             0.75708,             0.65418,             0.71199,             0.38522,            0.039087,            0.024976,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.032274,             0.02363,                   0,              0.7177,             0.68012,             0.72157,             0.42399,            0.037238,            0.022995,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031123,            0.023759,                   0,             0.74238,             0.61455,             0.70163,             0.41138,            0.037211,            0.023866,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.032364,            0.023865,                   0,             0.67926,             0.63401,             0.68524,             0.40375,            0.037202,            0.023354,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.030374,            0.022293,                   0,             0.75284,             0.57934,             0.69309,             0.41238,            0.037211,            0.023536,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02996,            0.022971,                   0,             0.74598,             0.61782,             0.69783,             0.40942,            0.037322,            0.024785,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.029157,            0.021384,                   0,             0.80211,             0.63689,             0.72264,             0.41821,            0.037722,            0.023883,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029186,            0.022283,                   0,             0.73686,             0.69452,             0.73125,             0.43838,            0.037786,            0.024455,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.029258,            0.021264,                   0,             0.83611,             0.66282,             0.74004,             0.44162,            0.037506,            0.024869,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.028657,            0.020623,                   0,             0.82816,             0.62501,              0.7342,             0.43339,            0.036771,            0.023703,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028264,            0.019574,                   0,             0.84813,             0.59654,             0.71092,             0.43601,            0.037567,            0.023682,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.028108,            0.020759,                   0,             0.79515,              0.6513,              0.7201,             0.43301,            0.036455,            0.024032,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.027764,            0.021649,                   0,             0.81789,             0.64716,             0.73336,             0.44956,            0.036318,            0.024044,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.02664,            0.020717,                   0,             0.82487,             0.61671,             0.71627,             0.43788,            0.036913,            0.025169,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.027011,            0.020116,                   0,              0.7837,             0.66826,             0.72992,             0.44433,            0.036164,            0.023938,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.026249,            0.019729,                   0,             0.74716,             0.68588,             0.73209,              0.4435,             0.03633,            0.024037,                   0,            0.002872,            0.002872,            0.002872
