               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052767,            0.034862,                   0,             0.70291,             0.57274,             0.62629,             0.31659,            0.043632,            0.024492,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.041423,            0.029138,                   0,             0.68063,             0.62032,             0.66462,             0.36123,            0.041166,            0.024896,                   0,            0.040752,           0.0064386,           0.0064386
                   2,              0.0425,            0.029083,                   0,             0.74899,              0.6196,             0.69322,             0.29624,            0.045828,            0.021914,                   0,             0.01049,           0.0095098,           0.0095098
                   3,             0.04118,            0.028118,                   0,             0.78327,              0.6513,             0.73901,             0.39048,            0.040564,            0.023423,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.040111,            0.026018,                   0,             0.74743,             0.62824,             0.68936,             0.34959,             0.04336,            0.023077,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.039319,            0.024783,                   0,             0.76903,             0.65706,             0.72312,             0.39991,            0.038955,            0.022705,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.038775,            0.027176,                   0,             0.76777,             0.60024,             0.68087,             0.34613,            0.041904,            0.023379,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.03557,            0.025377,                   0,             0.73986,              0.6513,             0.72152,             0.38823,            0.039443,            0.022543,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.035857,            0.025451,                   0,             0.72922,             0.68012,             0.70886,             0.37684,             0.03894,            0.021966,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034311,            0.025298,                   0,             0.81895,             0.63876,             0.72935,             0.41876,            0.037536,             0.02229,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.035081,            0.023626,                   0,             0.75775,             0.66706,              0.7239,              0.4073,            0.038818,            0.023461,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03374,            0.023081,                   0,             0.74958,             0.69164,             0.71671,             0.39924,            0.038898,             0.02349,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033911,              0.0228,                   0,             0.81129,             0.60807,             0.72131,             0.41636,            0.038618,            0.022509,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.032099,            0.023195,                   0,             0.71008,             0.68467,             0.71307,             0.42597,            0.036367,            0.023557,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033003,            0.021972,                   0,             0.80554,             0.65418,             0.73044,             0.41338,            0.038928,            0.023962,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.032923,            0.022099,                   0,             0.82508,             0.65994,             0.74242,             0.42226,            0.037286,            0.023977,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031289,             0.02414,                   0,             0.76135,             0.68012,             0.74273,             0.43659,            0.037042,            0.022685,                   0,             0.00703,             0.00703,             0.00703
                  17,              0.0308,            0.024071,                   0,             0.76094,             0.67879,              0.7349,             0.43359,            0.036673,             0.02385,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030753,            0.022362,                   0,             0.79288,             0.66192,             0.74248,             0.43362,            0.036783,            0.023383,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.030543,            0.022149,                   0,             0.75581,             0.71758,             0.76775,             0.45196,            0.035747,            0.023578,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029901,            0.021739,                   0,             0.79962,             0.66702,             0.76419,             0.45167,            0.036138,            0.023642,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.029301,            0.020789,                   0,             0.78619,             0.67435,             0.74992,             0.44205,            0.037136,             0.02478,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.029974,            0.021867,                   0,             0.82356,              0.6196,             0.71688,             0.40248,            0.037999,            0.025471,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.029259,            0.021633,                   0,             0.80547,             0.66282,             0.74994,              0.4449,             0.03719,            0.024133,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.027662,            0.021546,                   0,             0.79944,             0.63178,             0.73759,             0.44211,            0.036372,            0.025199,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.02839,            0.022019,                   0,             0.81766,             0.65907,             0.75762,             0.45163,            0.036421,            0.026025,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027986,            0.020859,                   0,             0.80669,             0.61331,             0.72197,             0.42915,             0.03663,            0.025467,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.027233,            0.021427,                   0,             0.83092,             0.64265,             0.74089,             0.44944,            0.036184,            0.025969,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027344,            0.019982,                   0,             0.81392,             0.63112,             0.74216,             0.43753,            0.036924,            0.025105,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026623,            0.020791,                   0,              0.8176,             0.64841,             0.74331,             0.45027,            0.037315,            0.026706,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.02693,            0.019912,                   0,             0.76821,             0.66859,             0.73651,             0.44819,            0.037211,            0.026503,                   0,            0.004258,            0.004258,            0.004258
