               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060288,            0.038107,                   0,                   1,             0.52076,             0.59294,             0.29679,            0.071071,            0.024894,                   0,              0.0991,              0.0001,              0.0001
                   1,            0.053433,            0.029896,                   0,             0.98191,             0.46667,             0.58009,             0.29979,            0.069443,             0.02521,                   0,            0.097294,          0.00029406,          0.00029406
                   2,            0.055474,            0.038125,                   0,             0.74454,             0.58399,             0.60876,             0.32877,            0.068205,            0.025317,                   0,             0.09548,           0.0004802,           0.0004802
                   3,            0.054034,            0.030252,                   0,             0.88719,             0.52519,             0.60761,             0.32456,            0.066934,             0.02525,                   0,            0.093658,          0.00065842,          0.00065842
                   4,            0.053425,            0.036993,                   0,             0.74974,                 0.6,              0.6109,             0.31983,            0.066066,            0.025261,                   0,            0.091829,          0.00082872,          0.00082872
                   5,            0.054227,            0.033999,                   0,             0.86922,                 0.6,              0.6134,             0.33424,            0.065132,            0.025353,                   0,            0.089991,           0.0009911,           0.0009911
                   6,            0.054622,            0.038799,                   0,             0.87724,                 0.6,             0.61818,             0.35783,            0.064902,            0.025138,                   0,            0.088146,           0.0011456,           0.0011456
                   7,            0.053644,            0.037613,                   0,             0.88556,                 0.6,             0.59933,             0.34976,            0.064582,            0.024897,                   0,            0.086292,           0.0012921,           0.0012921
                   8,            0.050925,            0.029326,                   0,             0.88181,                 0.6,             0.61649,             0.35541,            0.064284,            0.024802,                   0,            0.084431,           0.0014307,           0.0014307
                   9,            0.048895,            0.027739,                   0,             0.88291,                 0.6,             0.61795,             0.35424,            0.063703,            0.024913,                   0,            0.082561,           0.0015614,           0.0015614
                  10,            0.051954,            0.030745,                   0,             0.87148,             0.53333,             0.61053,             0.34796,            0.063135,            0.025142,                   0,            0.080684,           0.0016842,           0.0016842
                  11,            0.045542,            0.029727,                   0,             0.83359,             0.53333,             0.60456,             0.34459,            0.062828,            0.025332,                   0,            0.078799,           0.0017991,           0.0017991
                  12,            0.048167,            0.027805,                   0,             0.77025,             0.53333,              0.6007,             0.34135,            0.062161,            0.025244,                   0,            0.076906,            0.001906,            0.001906
                  13,            0.043313,            0.021324,                   0,              0.7998,             0.53272,             0.60017,             0.33762,            0.061541,            0.025155,                   0,            0.075005,            0.002005,            0.002005
                  14,            0.044113,            0.033234,                   0,             0.63092,                 0.6,             0.58497,             0.31917,            0.061109,            0.025297,                   0,            0.073096,           0.0020961,           0.0020961
                  15,            0.048674,            0.033337,                   0,             0.57309,                 0.6,             0.58057,             0.32234,             0.06048,            0.025372,                   0,            0.071179,           0.0021793,           0.0021793
                  16,            0.043132,            0.024915,                   0,             0.54238,                 0.6,             0.58103,             0.32028,            0.060177,            0.025225,                   0,            0.069255,           0.0022546,           0.0022546
