               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10931,             0.03952,                   0,            0.030527,            0.080692,            0.011915,           0.0027888,             0.09293,            0.030033,                   0,            0.070882,           0.0032353,           0.0032353
                   1,             0.08063,            0.041097,                   0,             0.16276,             0.17291,            0.070038,            0.017486,            0.075202,            0.035613,                   0,            0.040752,           0.0064386,           0.0064386
                   2,            0.071655,            0.038719,                   0,             0.18813,             0.26378,             0.12139,            0.035001,            0.079911,            0.028801,                   0,             0.01049,           0.0095098,           0.0095098
                   3,            0.064977,            0.035803,                   0,             0.35906,             0.29683,             0.27549,            0.096187,            0.065711,            0.029664,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.057593,            0.032194,                   0,             0.39118,             0.44669,              0.3605,             0.16452,            0.059334,            0.029245,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.05224,             0.02988,                   0,             0.59075,              0.5072,             0.51439,              0.2069,            0.052308,            0.026285,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049743,            0.031247,                   0,              0.5896,             0.56484,             0.60322,             0.27511,            0.048339,            0.023101,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046536,            0.029409,                   0,             0.62228,              0.5555,             0.59765,              0.2544,            0.049721,            0.023666,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044712,            0.028606,                   0,             0.69996,             0.58491,             0.63832,             0.29118,             0.04742,            0.023593,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.042812,            0.028662,                   0,             0.72751,             0.59942,             0.65373,             0.33644,            0.044935,            0.023657,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041642,            0.026539,                   0,              0.7016,             0.57594,             0.63628,             0.31547,            0.045417,            0.024077,                   0,            0.008218,            0.008218,            0.008218
