               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098143,            0.031228,                   0,             0.10207,             0.16537,            0.055885,             0.01511,            0.076591,            0.024702,                   0,            0.070294,           0.0033007,           0.0033007
                   1,            0.069698,             0.03017,                   0,             0.47957,             0.33812,             0.34163,             0.11267,            0.059702,            0.022282,                   0,            0.040228,           0.0065683,           0.0065683
                   2,             0.06079,            0.025764,                   0,             0.56932,             0.49871,             0.48443,             0.16018,            0.054442,            0.019493,                   0,            0.010097,             0.00977,             0.00977
                   3,            0.055464,            0.023876,                   0,             0.69278,              0.5011,             0.58279,             0.24419,            0.047163,            0.018901,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051479,            0.023532,                   0,             0.68307,             0.55297,              0.5992,             0.24454,            0.048308,            0.018502,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050185,            0.023015,                   0,             0.65538,             0.60935,             0.62686,             0.28472,            0.045886,            0.018467,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048041,            0.022567,                   0,             0.68709,             0.60465,             0.67352,              0.2973,            0.045312,            0.017547,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047155,             0.02146,                   0,             0.73056,             0.64599,             0.70412,             0.33388,            0.044125,            0.017057,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045443,            0.021754,                   0,             0.68969,             0.63748,             0.68991,             0.30657,            0.043696,            0.016985,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.044571,            0.021659,                   0,             0.72236,             0.63867,             0.70578,             0.33958,            0.041303,            0.017454,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043168,            0.020651,                   0,             0.75816,             0.64858,             0.72431,             0.35885,            0.041755,            0.016601,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.043409,            0.021046,                   0,             0.73499,             0.69509,             0.75391,             0.35767,            0.040338,            0.016046,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042681,            0.020061,                   0,             0.72207,             0.69767,             0.74764,             0.34951,            0.040298,            0.016165,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.04177,            0.020542,                   0,             0.72389,             0.63049,             0.72178,             0.36057,            0.041284,            0.017136,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04123,            0.019892,                   0,              0.7871,             0.62016,             0.73839,             0.36705,            0.040732,            0.016131,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04039,            0.019758,                   0,             0.75159,             0.69251,             0.75674,             0.38241,            0.039955,            0.016054,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038999,            0.019063,                   0,              0.8298,             0.67442,              0.7941,              0.4133,            0.038267,            0.015405,                   0,            0.008515,            0.008515,            0.008515
