               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090094,            0.036733,                   0,             0.16763,                 0.2,             0.16683,            0.090206,            0.042954,              0.0162,                   0,            0.070231,           0.0033077,           0.0033077
                   1,             0.06126,            0.034913,                   0,             0.52503,             0.39805,             0.36405,            0.088276,             0.04395,            0.014191,                   0,            0.040099,           0.0065095,           0.0065095
                   2,            0.054647,            0.032215,                   0,             0.71649,                 0.4,             0.42227,             0.10214,            0.039895,            0.016666,                   0,           0.0098358,           0.0095794,           0.0095794
                   3,            0.051821,            0.032085,                   0,             0.46033,                0.36,             0.34427,             0.16509,            0.035193,            0.015888,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.048491,            0.031305,                   0,             0.66479,                 0.4,             0.46927,              0.1635,            0.031232,            0.014673,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.046852,            0.030881,                   0,             0.62021,             0.71857,             0.67723,             0.28853,            0.030578,            0.012156,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.04578,            0.030127,                   0,             0.55393,                 0.6,             0.56052,             0.19916,            0.036008,            0.014394,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.044504,            0.030196,                   0,             0.53868,                0.64,             0.54483,             0.22095,             0.03078,            0.014301,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044135,            0.029413,                   0,             0.67373,                0.68,             0.65717,             0.23231,            0.030002,            0.011734,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043055,            0.028949,                   0,             0.81554,                0.68,             0.71609,             0.28311,            0.030646,            0.011886,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.042184,            0.028714,                   0,              0.6139,                0.68,             0.65522,             0.20755,            0.032748,             0.01365,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.041756,            0.028107,                   0,              0.7289,                0.68,             0.65564,             0.21085,            0.031135,            0.011982,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041451,            0.027914,                   0,             0.68264,                0.64,             0.59372,             0.24949,            0.030994,            0.014168,                   0,            0.007822,            0.007822,            0.007822
                  13,              0.0416,            0.027414,                   0,             0.54892,                0.44,             0.47168,             0.21012,            0.031107,            0.015774,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.039712,            0.027305,                   0,             0.72204,                0.44,             0.56237,             0.22012,            0.033755,            0.012834,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.040383,            0.026641,                   0,             0.89967,                0.48,              0.5966,             0.26081,            0.033502,              0.0112,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.039666,            0.027045,                   0,             0.67566,             0.66697,             0.73058,             0.30782,            0.031367,            0.013378,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.039371,            0.026839,                   0,             0.76921,                 0.6,             0.67702,             0.25443,            0.032721,            0.011113,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.039156,            0.026897,                   0,              0.6342,                0.64,             0.64871,             0.28913,             0.03295,            0.011355,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038795,            0.026251,                   0,             0.84414,                0.64,             0.71444,             0.28855,            0.032111,            0.011699,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.037707,            0.025999,                   0,             0.84774,             0.66855,             0.71393,             0.27976,            0.033885,            0.011261,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.03744,            0.025969,                   0,             0.77222,                0.64,              0.7136,             0.31683,            0.032525,            0.011342,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.037385,            0.026306,                   0,             0.70954,                 0.6,             0.65434,             0.29358,            0.030645,            0.012447,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.036932,            0.026143,                   0,             0.78007,                0.64,             0.75949,             0.27803,            0.034008,            0.010647,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.036986,               0.025,                   0,             0.79197,                0.64,             0.69892,             0.32297,            0.032955,            0.011849,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.036643,            0.025403,                   0,             0.66975,                0.72,             0.68473,             0.32105,            0.030536,             0.01173,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.035996,            0.024681,                   0,             0.78589,                0.64,             0.63744,              0.2988,            0.035019,            0.011388,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.036304,            0.025841,                   0,             0.67432,                0.68,              0.7067,             0.27173,            0.035087,            0.010325,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.03552,            0.024297,                   0,             0.57807,                0.84,             0.73615,             0.33248,            0.029728,            0.011842,                   0,            0.004654,            0.004654,            0.004654
