               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10544,            0.040497,            0.090163,            0.088394,             0.12968,            0.035311,           0.0096858,            0.090866,            0.030214,            0.055055,            0.070882,           0.0032353,           0.0032353
                   1,            0.082636,             0.03847,            0.029008,            0.048449,            0.063401,            0.011096,           0.0030071,            0.094795,            0.032898,              0.0195,            0.040752,           0.0064386,           0.0064386
                   2,              0.0795,            0.034981,            0.014202,             0.32982,             0.30836,             0.24084,            0.070598,            0.077608,            0.026895,            0.011166,             0.01049,           0.0095098,           0.0095098
                   3,            0.070838,            0.033807,             0.01167,             0.26265,             0.32542,             0.22167,              0.0856,            0.067575,            0.026071,            0.010304,            0.009406,            0.009406,            0.009406
                   4,            0.065895,            0.030199,           0.0099799,             0.46545,             0.40922,             0.37297,             0.12931,            0.060372,             0.02584,           0.0086967,            0.009406,            0.009406,            0.009406
                   5,             0.06146,            0.028348,           0.0092509,             0.44822,             0.48991,             0.42233,             0.17744,            0.057846,            0.024234,           0.0083586,            0.009208,            0.009208,            0.009208
                   6,            0.057698,            0.030016,           0.0086963,             0.42316,              0.5389,             0.44279,             0.17219,            0.054476,            0.022994,             0.00781,             0.00901,             0.00901,             0.00901
                   7,            0.053185,            0.028469,           0.0082472,             0.62573,             0.51009,             0.55322,             0.21839,            0.054738,            0.022981,           0.0076181,            0.008812,            0.008812,            0.008812
                   8,            0.051448,            0.028066,           0.0079386,             0.68624,             0.54467,             0.59589,             0.26389,            0.049149,            0.022499,           0.0075745,            0.008614,            0.008614,            0.008614
                   9,            0.050275,            0.027956,           0.0078617,             0.76271,             0.60231,             0.67231,             0.30662,            0.047384,             0.02198,           0.0074938,            0.008416,            0.008416,            0.008416
                  10,            0.048134,            0.026076,           0.0074572,              0.6678,             0.57353,             0.63842,             0.28893,            0.048337,            0.022989,           0.0074925,            0.008218,            0.008218,            0.008218
