               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068689,              0.0478,                   0,             0.67993,             0.36842,              0.3866,             0.19846,            0.063108,            0.035805,                   0,              0.0991,              0.0001,              0.0001
                   1,            0.058906,            0.040356,                   0,             0.67966,             0.36842,             0.37608,             0.19901,            0.062511,            0.035709,                   0,            0.097294,          0.00029406,          0.00029406
                   2,            0.058299,            0.047095,                   0,             0.68391,             0.36842,              0.3874,             0.19486,            0.061723,            0.035498,                   0,             0.09548,           0.0004802,           0.0004802
                   3,             0.05194,            0.029191,                   0,             0.76325,             0.36842,             0.39917,             0.19513,            0.060865,            0.035007,                   0,            0.093658,          0.00065842,          0.00065842
                   4,              0.0587,            0.035713,                   0,              0.8177,             0.36842,              0.4014,             0.20742,            0.059891,            0.034274,                   0,            0.091829,          0.00082872,          0.00082872
                   5,            0.061148,            0.059511,                   0,             0.82184,             0.36842,             0.40428,             0.21302,            0.058631,            0.032965,                   0,            0.089991,           0.0009911,           0.0009911
                   6,            0.059302,            0.047666,                   0,             0.82854,             0.36842,             0.42318,             0.21522,            0.057221,            0.031122,                   0,            0.088146,           0.0011456,           0.0011456
                   7,            0.053847,            0.043255,                   0,             0.76537,             0.36842,             0.44378,             0.21271,            0.056324,             0.03016,                   0,            0.086292,           0.0012921,           0.0012921
                   8,            0.056062,            0.038957,                   0,             0.75246,             0.36842,             0.42362,             0.21075,            0.055699,            0.029954,                   0,            0.084431,           0.0014307,           0.0014307
                   9,              0.0527,            0.034035,                   0,             0.73291,             0.36842,             0.41825,             0.21928,            0.055195,            0.029918,                   0,            0.082561,           0.0015614,           0.0015614
                  10,            0.054715,            0.037575,                   0,             0.72782,             0.36842,             0.42088,             0.22148,            0.055147,            0.030074,                   0,            0.080684,           0.0016842,           0.0016842
                  11,            0.055722,            0.042314,                   0,             0.71573,             0.36842,               0.437,             0.22253,             0.05551,            0.030513,                   0,            0.078799,           0.0017991,           0.0017991
                  12,            0.047086,             0.02495,                   0,             0.70356,             0.36842,             0.42875,             0.21091,            0.056207,            0.030836,                   0,            0.076906,            0.001906,            0.001906
                  13,            0.052949,            0.044147,                   0,             0.67214,             0.36842,             0.42344,             0.21263,            0.056587,            0.031638,                   0,            0.075005,            0.002005,            0.002005
                  14,             0.05443,            0.039373,                   0,             0.62778,             0.36842,             0.44068,             0.21878,            0.057171,            0.031984,                   0,            0.073096,           0.0020961,           0.0020961
                  15,            0.051709,            0.037342,                   0,             0.59612,             0.36842,             0.44003,             0.20962,            0.058024,            0.032092,                   0,            0.071179,           0.0021793,           0.0021793
                  16,            0.050793,            0.036332,                   0,             0.60062,             0.42105,             0.43702,             0.21123,             0.05834,            0.032003,                   0,            0.069255,           0.0022546,           0.0022546
                  17,            0.047536,            0.032972,                   0,             0.56811,             0.36842,             0.44164,             0.21453,             0.05808,            0.031689,                   0,            0.067322,           0.0023219,           0.0023219
                  18,            0.049418,            0.035583,                   0,             0.67647,             0.33127,             0.43172,             0.23356,            0.057264,             0.03093,                   0,            0.065381,           0.0023813,           0.0023813
                  19,            0.050626,            0.037753,                   0,             0.77675,             0.36648,              0.4649,             0.23719,              0.0567,            0.030541,                   0,            0.063433,           0.0024328,           0.0024328
                  20,            0.053429,            0.045196,                   0,             0.60233,             0.39962,             0.47385,             0.23178,            0.056835,            0.031008,                   0,            0.061476,           0.0024764,           0.0024764
                  21,            0.049251,             0.03283,                   0,             0.60435,             0.40293,             0.47499,             0.23144,            0.056661,            0.030968,                   0,            0.059512,           0.0025121,           0.0025121
                  22,            0.051847,            0.039302,                   0,             0.60254,             0.39996,              0.4753,             0.23141,            0.056262,            0.030659,                   0,             0.05754,           0.0025398,           0.0025398
                  23,            0.051109,            0.041445,                   0,             0.60704,             0.36842,             0.47948,             0.23249,            0.056496,            0.030308,                   0,             0.05556,           0.0025596,           0.0025596
                  24,            0.045716,            0.032601,                   0,             0.64734,             0.36842,             0.47655,             0.22214,            0.056902,            0.029754,                   0,            0.053572,           0.0025715,           0.0025715
                  25,            0.048842,            0.037326,                   0,             0.74838,             0.36842,             0.47447,             0.23732,             0.05645,            0.029275,                   0,            0.051576,           0.0025755,           0.0025755
                  26,            0.045687,            0.027063,                   0,             0.63794,             0.47368,             0.49032,             0.24227,            0.056223,            0.028385,                   0,            0.049572,           0.0025716,           0.0025716
                  27,            0.046836,            0.041488,                   0,             0.63794,             0.47368,             0.49032,             0.24227,            0.056223,            0.028385,                   0,             0.04756,           0.0025597,           0.0025597
                  28,            0.046988,            0.039125,                   0,             0.60803,             0.47368,             0.49157,             0.24698,             0.05513,            0.027659,                   0,             0.04554,           0.0025399,           0.0025399
                  29,            0.049728,            0.031705,                   0,             0.62286,             0.43537,             0.50165,             0.26895,            0.054215,            0.027044,                   0,            0.043512,           0.0025122,           0.0025122
